id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,kulczynski,imbalance_ratio
1,"['Godfather: Part II, The (1974)']","['Godfather, The (1972)']",0.1434,0.211,0.1266,0.882845,0.741422,0.296752
2,"['Godfather, The (1972)']","['Godfather: Part II, The (1974)']",0.211,0.1434,0.1266,0.6,0.741422,0.296752
3,['Forrest Gump (1994)'],"['Shawshank Redemption, The (1994)']",0.3396,0.3482,0.2124,0.625442,0.617718,0.01809
4,"['Shawshank Redemption, The (1994)']",['Forrest Gump (1994)'],0.3482,0.3396,0.2124,0.609994,0.617718,0.01809
5,"['Shawshank Redemption, The (1994)']",['Pulp Fiction (1994)'],0.3482,0.326,0.2192,0.629523,0.650958,0.048791
6,['Pulp Fiction (1994)'],"['Shawshank Redemption, The (1994)']",0.326,0.3482,0.2192,0.672393,0.650958,0.048791
7,['Forrest Gump (1994)'],['Pulp Fiction (1994)'],0.3396,0.326,0.2148,0.632509,0.645703,0.030169
8,['Pulp Fiction (1994)'],['Forrest Gump (1994)'],0.326,0.3396,0.2148,0.658896,0.645703,0.030169
9,"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)']",['Pulp Fiction (1994)'],0.2124,0.326,0.1594,0.750471,0.619714,0.299736
10,"['Silence of the Lambs, The (1991)']",['Pulp Fiction (1994)'],0.3134,0.326,0.2226,0.710274,0.696548,0.03023
11,['Pulp Fiction (1994)'],"['Silence of the Lambs, The (1991)']",0.326,0.3134,0.2226,0.682822,0.696548,0.03023
12,['Forrest Gump (1994)'],"['Silence of the Lambs, The (1991)']",0.3396,0.3134,0.2124,0.625442,0.651585,0.059464
13,"['Silence of the Lambs, The (1991)']",['Forrest Gump (1994)'],0.3134,0.3396,0.2124,0.677728,0.651585,0.059464
14,"['Silence of the Lambs, The (1991)']","['Shawshank Redemption, The (1994)']",0.3134,0.3482,0.2048,0.653478,0.620823,0.076182
15,"['Forrest Gump (1994)', 'Pulp Fiction (1994)']","['Silence of the Lambs, The (1991)']",0.2148,0.3134,0.165,0.768156,0.64732,0.271476
16,"['Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)']",['Forrest Gump (1994)'],0.2226,0.3396,0.165,0.74124,0.613553,0.294562
17,"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)']","['Silence of the Lambs, The (1991)']",0.2192,0.3134,0.1628,0.742701,0.631082,0.254732
18,"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)']","['Silence of the Lambs, The (1991)']",0.2124,0.3134,0.1534,0.722222,0.605846,0.271214
19,"['Shawshank Redemption, The (1994)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.2048,0.2148,0.1276,0.623047,0.608544,0.034247
20,"['Matrix, The (1999)']",['Star Wars: Episode IV - A New Hope (1977)'],0.2876,0.2844,0.1806,0.627955,0.631488,0.008176
21,['Star Wars: Episode IV - A New Hope (1977)'],"['Matrix, The (1999)']",0.2844,0.2876,0.1806,0.635021,0.631488,0.008176
22,['Jurassic Park (1993)'],['Forrest Gump (1994)'],0.2644,0.3396,0.2014,0.761725,0.677388,0.186786
23,['Jurassic Park (1993)'],"['Silence of the Lambs, The (1991)']",0.2644,0.3134,0.1758,0.664902,0.612923,0.121891
24,"['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",['Jurassic Park (1993)'],0.2124,0.2644,0.1528,0.719397,0.648654,0.160494
25,"['Forrest Gump (1994)', 'Pulp Fiction (1994)']",['Jurassic Park (1993)'],0.2148,0.2644,0.1484,0.690875,0.626073,0.14994
26,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.1758,0.2148,0.1234,0.701934,0.638211,0.145958
27,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']","['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",0.1728,0.2124,0.1234,0.71412,0.64755,0.151261
28,"['Jurassic Park (1993)', 'Shawshank Redemption, The (1994)']","['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.1554,0.2148,0.1138,0.732304,0.63105,0.231669
29,"['Jurassic Park (1993)', 'Shawshank Redemption, The (1994)']","['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",0.1554,0.2124,0.112,0.720721,0.624014,0.22283
30,"[""Schindler's List (1993)""]","['Shawshank Redemption, The (1994)']",0.2602,0.3482,0.1882,0.72329,0.631892,0.209424
31,['Braveheart (1995)'],['Forrest Gump (1994)'],0.254,0.3396,0.1788,0.703937,0.61522,0.206365
32,['Braveheart (1995)'],['Pulp Fiction (1994)'],0.254,0.326,0.173,0.681102,0.605889,0.176904
33,"['Braveheart (1995)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.1682,0.2148,0.1144,0.680143,0.606366,0.173492
34,"['Forrest Gump (1994)', 'Braveheart (1995)']",['Jurassic Park (1993)'],0.1788,0.2644,0.129,0.721477,0.604687,0.272438
35,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']","['Forrest Gump (1994)', 'Braveheart (1995)']",0.1728,0.1788,0.1064,0.615741,0.605409,0.02447
36,['Star Wars: Episode VI - Return of the Jedi (1983)'],['Star Wars: Episode IV - A New Hope (1977)'],0.2342,0.2844,0.1864,0.795901,0.725658,0.151114
37,['Star Wars: Episode IV - A New Hope (1977)'],['Star Wars: Episode VI - Return of the Jedi (1983)'],0.2844,0.2342,0.1864,0.655415,0.725658,0.151114
38,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1806,0.2342,0.131,0.72536,0.642356,0.188865
